method,number_feature,in_safari,accuracy,auc,f1,mcc
DO_0,410,16,0.634,0.611,0.712,0.243
DO_0,420,16,0.629,0.606,0.706,0.231
DO_0,430,16,0.634,0.611,0.712,0.243
DO_0,440,16,0.661,0.64,0.73,0.302
DO_0,450,16,0.651,0.627,0.726,0.279
DO_0,460,16,0.608,0.587,0.684,0.186
DO_0,470,17,0.602,0.582,0.678,0.175
DO_0,480,18,0.656,0.63,0.733,0.292
DO_0,490,18,0.629,0.605,0.709,0.231
DO_0,500,21,0.629,0.608,0.704,0.232
GOmf_35,10,0,0.559,0.5,0.717,0.0
GOmf_35,20,1,0.565,0.542,0.652,0.091
GOmf_35,30,1,0.581,0.558,0.667,0.125
GOmf_35,40,1,0.629,0.601,0.716,0.231
GOmf_35,50,1,0.597,0.567,0.694,0.156
GOmf_35,60,1,0.591,0.561,0.691,0.143
GOmf_35,70,1,0.554,0.521,0.667,0.05
GOmf_35,80,1,0.543,0.509,0.661,0.021
GOmf_35,90,2,0.581,0.55,0.683,0.117
GOmf_35,100,3,0.565,0.534,0.669,0.08
GOmf_35,110,4,0.559,0.534,0.655,0.074
GOmf_35,120,4,0.57,0.542,0.669,0.095
GOmf_35,130,4,0.543,0.515,0.647,0.034
GOmf_35,140,4,0.565,0.541,0.655,0.089
GOmf_35,150,6,0.554,0.529,0.65,0.063
GOmf_35,160,6,0.548,0.523,0.647,0.05
GOmf_35,170,6,0.57,0.544,0.664,0.098
GOmf_35,180,8,0.565,0.54,0.658,0.087
GOmf_35,190,9,0.565,0.54,0.658,0.087
GOmf_35,200,9,0.613,0.584,0.705,0.194
GOmf_35,210,9,0.645,0.618,0.727,0.268
GOmf_35,220,9,0.634,0.605,0.724,0.245
GOmf_35,230,9,0.618,0.592,0.705,0.206
GOmf_35,240,9,0.597,0.568,0.691,0.156
GOmf_35,250,9,0.505,0.48,0.61,-0.043
GOmf_35,260,9,0.5,0.473,0.611,-0.06
GOmf_35,270,10,0.597,0.57,0.689,0.157
GOmf_35,280,10,0.586,0.559,0.68,0.133
GOmf_35,290,10,0.613,0.587,0.7,0.194
GOmf_35,300,10,0.608,0.583,0.692,0.183
GOmf_35,310,10,0.624,0.602,0.701,0.22
GOmf_35,320,10,0.645,0.622,0.72,0.267
GOmf_35,330,11,0.651,0.628,0.723,0.279
GOmf_35,340,11,0.651,0.627,0.726,0.279
GOmf_35,350,11,0.656,0.634,0.726,0.291
GOmf_35,360,12,0.651,0.628,0.723,0.279
GOmf_35,370,12,0.645,0.622,0.72,0.267
GOmf_35,380,13,0.634,0.612,0.709,0.243
GOmf_35,390,13,0.645,0.623,0.718,0.267
GOmf_35,400,14,0.634,0.61,0.714,0.243
GOmf_35,410,15,0.629,0.606,0.706,0.231
GOmf_35,420,15,0.634,0.612,0.709,0.243
GOmf_35,430,15,0.651,0.628,0.723,0.279
GOmf_35,440,15,0.64,0.617,0.715,0.255
GOmf_35,450,16,0.634,0.614,0.707,0.244
GOmf_35,460,16,0.645,0.622,0.72,0.267
GOmf_35,470,17,0.64,0.616,0.717,0.255
GOmf_35,480,17,0.64,0.617,0.715,0.255
GOmf_35,490,18,0.651,0.628,0.723,0.279
GOmf_35,500,18,0.634,0.611,0.712,0.243
HPO_60,10,0,0.548,0.507,0.679,0.02
HPO_60,20,1,0.511,0.486,0.613,-0.03
HPO_60,30,1,0.548,0.524,0.644,0.052
HPO_60,40,1,0.543,0.517,0.644,0.037
HPO_60,50,1,0.548,0.521,0.65,0.048
HPO_60,60,1,0.565,0.531,0.677,0.075
HPO_60,70,1,0.559,0.523,0.677,0.058
HPO_60,80,2,0.618,0.585,0.717,0.208
HPO_60,90,3,0.591,0.562,0.689,0.144
HPO_60,100,3,0.602,0.575,0.694,0.169
HPO_60,110,3,0.613,0.587,0.7,0.194
HPO_60,120,3,0.597,0.571,0.686,0.158
HPO_60,130,3,0.597,0.571,0.686,0.158
HPO_60,140,5,0.591,0.562,0.689,0.144
HPO_60,150,6,0.575,0.549,0.669,0.11
HPO_60,160,6,0.559,0.534,0.655,0.074
HPO_60,170,7,0.575,0.551,0.667,0.111
HPO_60,180,8,0.554,0.527,0.653,0.061
HPO_60,190,8,0.624,0.598,0.708,0.219
HPO_60,200,8,0.645,0.621,0.723,0.267
HPO_60,210,8,0.661,0.639,0.732,0.303
HPO_60,220,8,0.581,0.557,0.669,0.124
HPO_60,230,8,0.586,0.561,0.675,0.135
HPO_60,240,8,0.57,0.542,0.669,0.095
HPO_60,250,8,0.554,0.526,0.656,0.059
HPO_60,260,9,0.543,0.515,0.647,0.034
HPO_60,270,10,0.548,0.52,0.653,0.046
HPO_60,280,11,0.586,0.56,0.678,0.134
HPO_60,290,11,0.591,0.564,0.686,0.144
HPO_60,300,11,0.602,0.575,0.694,0.169
HPO_60,310,11,0.602,0.576,0.692,0.17
HPO_60,320,11,0.608,0.583,0.692,0.183
HPO_60,330,12,0.602,0.577,0.689,0.171
HPO_60,340,12,0.608,0.582,0.695,0.182
HPO_60,350,13,0.624,0.598,0.708,0.219
HPO_60,360,13,0.613,0.588,0.697,0.195
HPO_60,370,13,0.575,0.548,0.672,0.108
HPO_60,380,13,0.586,0.56,0.678,0.134
HPO_60,390,14,0.581,0.554,0.675,0.121
HPO_60,400,14,0.602,0.575,0.694,0.169
HPO_60,410,15,0.57,0.546,0.661,0.1
HPO_60,420,15,0.629,0.608,0.704,0.232
HPO_60,430,15,0.64,0.617,0.715,0.255
HPO_60,440,15,0.634,0.612,0.709,0.243
HPO_60,450,15,0.624,0.605,0.693,0.222
HPO_60,460,16,0.624,0.605,0.693,0.222
HPO_60,470,17,0.656,0.632,0.731,0.291
HPO_60,480,18,0.64,0.621,0.707,0.256
HPO_60,490,19,0.645,0.627,0.711,0.268
HPO_60,500,19,0.645,0.626,0.713,0.268
pubmed_85,10,0,0.548,0.507,0.679,0.02
pubmed_85,20,1,0.538,0.499,0.667,-0.003
pubmed_85,30,1,0.602,0.58,0.684,0.173
pubmed_85,40,1,0.575,0.547,0.675,0.107
pubmed_85,50,1,0.559,0.534,0.655,0.074
pubmed_85,60,1,0.559,0.523,0.677,0.058
pubmed_85,70,2,0.586,0.552,0.693,0.128
pubmed_85,80,3,0.575,0.545,0.678,0.105
pubmed_85,90,4,0.57,0.543,0.667,0.097
pubmed_85,100,4,0.586,0.564,0.67,0.138
pubmed_85,110,5,0.57,0.547,0.658,0.102
pubmed_85,120,6,0.581,0.555,0.672,0.122
pubmed_85,130,6,0.581,0.558,0.667,0.125
pubmed_85,140,6,0.602,0.58,0.684,0.173
pubmed_85,150,7,0.586,0.563,0.672,0.137
pubmed_85,160,7,0.543,0.519,0.638,0.042
pubmed_85,170,7,0.543,0.518,0.641,0.039
pubmed_85,180,7,0.575,0.552,0.664,0.113
pubmed_85,190,7,0.559,0.532,0.658,0.072
pubmed_85,200,7,0.57,0.544,0.664,0.098
pubmed_85,210,7,0.575,0.548,0.672,0.108
pubmed_85,220,8,0.559,0.532,0.658,0.072
pubmed_85,230,8,0.597,0.568,0.691,0.156
pubmed_85,240,8,0.581,0.554,0.675,0.121
pubmed_85,250,8,0.613,0.587,0.7,0.194
pubmed_85,260,8,0.629,0.605,0.709,0.231
pubmed_85,270,8,0.602,0.58,0.684,0.173
pubmed_85,280,8,0.645,0.623,0.718,0.267
pubmed_85,290,8,0.656,0.632,0.731,0.291
pubmed_85,300,8,0.64,0.615,0.72,0.255
pubmed_85,310,8,0.602,0.577,0.689,0.171
pubmed_85,320,9,0.591,0.566,0.681,0.147
pubmed_85,330,9,0.613,0.588,0.697,0.195
pubmed_85,340,9,0.597,0.572,0.684,0.159
pubmed_85,350,9,0.634,0.614,0.707,0.244
pubmed_85,360,9,0.629,0.608,0.704,0.232
pubmed_85,370,9,0.667,0.648,0.73,0.314
pubmed_85,380,9,0.667,0.648,0.73,0.314
pubmed_85,390,9,0.672,0.655,0.731,0.325
pubmed_85,400,10,0.667,0.649,0.728,0.314
pubmed_85,410,11,0.672,0.653,0.736,0.326
pubmed_85,420,12,0.661,0.639,0.732,0.303
pubmed_85,430,14,0.624,0.604,0.696,0.221
pubmed_85,440,14,0.64,0.62,0.71,0.256
pubmed_85,450,14,0.624,0.604,0.696,0.221
pubmed_85,460,14,0.608,0.586,0.687,0.185
pubmed_85,470,14,0.618,0.598,0.693,0.209
pubmed_85,480,14,0.613,0.592,0.69,0.197
pubmed_85,490,15,0.629,0.609,0.701,0.232
pubmed_85,500,15,0.629,0.609,0.701,0.232
GOcc_90,10,0,0.505,0.494,0.57,-0.011
GOcc_90,20,0,0.543,0.527,0.619,0.056
GOcc_90,30,0,0.57,0.538,0.677,0.09
GOcc_90,40,0,0.559,0.539,0.643,0.082
GOcc_90,50,0,0.538,0.522,0.613,0.045
GOcc_90,60,0,0.581,0.555,0.672,0.122
GOcc_90,70,1,0.645,0.617,0.73,0.269
GOcc_90,80,1,0.618,0.589,0.71,0.206
GOcc_90,90,1,0.629,0.599,0.721,0.232
GOcc_90,100,1,0.634,0.603,0.726,0.246
GOcc_90,110,1,0.624,0.591,0.72,0.22
GOcc_90,120,1,0.608,0.573,0.711,0.181
GOcc_90,130,2,0.597,0.57,0.689,0.157
GOcc_90,140,2,0.629,0.606,0.706,0.231
GOcc_90,150,2,0.581,0.558,0.667,0.125
GOcc_90,160,2,0.597,0.574,0.681,0.16
GOcc_90,170,3,0.613,0.591,0.692,0.196
GOcc_90,180,4,0.602,0.577,0.689,0.171
GOcc_90,190,6,0.602,0.575,0.694,0.169
GOcc_90,200,6,0.602,0.573,0.697,0.169
GOcc_90,210,6,0.608,0.581,0.697,0.182
GOcc_90,220,8,0.629,0.604,0.711,0.231
GOcc_90,230,9,0.591,0.569,0.675,0.149
GOcc_90,240,10,0.586,0.568,0.661,0.142
GOcc_90,250,11,0.575,0.556,0.655,0.118
GOcc_90,260,13,0.559,0.541,0.637,0.086
GOcc_90,270,13,0.548,0.53,0.628,0.063
GOcc_90,280,15,0.554,0.534,0.638,0.072
GOcc_90,290,15,0.554,0.535,0.634,0.074
GOcc_90,300,15,0.559,0.543,0.634,0.088
GOcc_90,310,16,0.554,0.535,0.634,0.074
GOcc_90,320,17,0.554,0.536,0.631,0.076
GOcc_90,330,19,0.565,0.546,0.643,0.097
GOcc_90,340,20,0.57,0.552,0.646,0.109
GOcc_90,350,22,0.565,0.546,0.643,0.097
GOcc_90,360,23,0.543,0.522,0.632,0.046
GOcc_90,370,23,0.548,0.53,0.628,0.063
GOcc_90,380,23,0.543,0.524,0.626,0.051
GOcc_90,390,24,0.522,0.502,0.608,0.005
GOcc_90,400,25,0.532,0.512,0.62,0.026
GOcc_90,410,26,0.527,0.506,0.617,0.013
GOcc_90,420,28,0.516,0.494,0.612,-0.013
GOcc_90,430,29,0.532,0.512,0.62,0.026
GOcc_90,440,30,0.538,0.517,0.626,0.036
GOcc_90,450,30,0.548,0.527,0.638,0.057
GOcc_90,460,30,0.527,0.506,0.617,0.013
GOcc_90,470,30,0.538,0.516,0.629,0.033
GOcc_90,480,30,0.538,0.514,0.632,0.031
GOcc_90,490,33,0.538,0.514,0.632,0.031
GOcc_90,500,34,0.548,0.527,0.638,0.057
joint_interaction_95,10,0,0.559,0.5,0.717,0.0
joint_interaction_95,20,1,0.554,0.527,0.653,0.061
joint_interaction_95,30,1,0.613,0.593,0.687,0.198
joint_interaction_95,40,1,0.559,0.53,0.664,0.068
joint_interaction_95,50,1,0.554,0.522,0.664,0.052
joint_interaction_95,60,1,0.575,0.542,0.685,0.101
joint_interaction_95,70,1,0.581,0.549,0.685,0.116
joint_interaction_95,80,2,0.586,0.551,0.696,0.127
joint_interaction_95,90,3,0.57,0.542,0.669,0.095
joint_interaction_95,100,3,0.565,0.537,0.664,0.084
joint_interaction_95,110,3,0.548,0.52,0.653,0.046
joint_interaction_95,120,4,0.554,0.527,0.653,0.061
joint_interaction_95,130,5,0.548,0.52,0.653,0.046
joint_interaction_95,140,5,0.591,0.566,0.681,0.147
joint_interaction_95,150,6,0.575,0.548,0.672,0.108
joint_interaction_95,160,7,0.554,0.53,0.647,0.065
joint_interaction_95,170,7,0.532,0.508,0.63,0.018
joint_interaction_95,180,8,0.543,0.517,0.644,0.037
joint_interaction_95,190,8,0.565,0.54,0.658,0.087
joint_interaction_95,200,8,0.559,0.532,0.658,0.072
joint_interaction_95,210,8,0.522,0.493,0.631,-0.015
joint_interaction_95,220,8,0.532,0.503,0.642,0.007
joint_interaction_95,230,10,0.538,0.509,0.645,0.021
joint_interaction_95,240,10,0.538,0.508,0.648,0.018
joint_interaction_95,250,11,0.554,0.525,0.658,0.057
joint_interaction_95,260,11,0.602,0.576,0.692,0.17
joint_interaction_95,270,12,0.613,0.585,0.702,0.194
joint_interaction_95,280,13,0.618,0.592,0.705,0.206
joint_interaction_95,290,13,0.559,0.532,0.658,0.072
joint_interaction_95,300,13,0.608,0.579,0.7,0.181
joint_interaction_95,310,13,0.608,0.581,0.697,0.182
joint_interaction_95,320,14,0.613,0.584,0.705,0.194
joint_interaction_95,330,14,0.554,0.527,0.653,0.061
joint_interaction_95,340,14,0.57,0.541,0.672,0.093
joint_interaction_95,350,15,0.57,0.542,0.669,0.095
joint_interaction_95,360,15,0.57,0.542,0.669,0.095
joint_interaction_95,370,15,0.575,0.547,0.675,0.107
joint_interaction_95,380,15,0.581,0.554,0.675,0.121
joint_interaction_95,390,15,0.581,0.555,0.672,0.122
joint_interaction_95,400,16,0.57,0.544,0.664,0.098
joint_interaction_95,410,17,0.608,0.582,0.695,0.182
joint_interaction_95,420,17,0.64,0.616,0.717,0.255
joint_interaction_95,430,17,0.618,0.594,0.7,0.207
joint_interaction_95,440,18,0.618,0.597,0.695,0.208
joint_interaction_95,450,18,0.613,0.589,0.695,0.195
joint_interaction_95,460,18,0.618,0.593,0.703,0.207
joint_interaction_95,470,19,0.624,0.599,0.706,0.219
joint_interaction_95,480,21,0.634,0.61,0.714,0.243
joint_interaction_95,490,21,0.64,0.615,0.72,0.255
joint_interaction_95,500,21,0.629,0.604,0.711,0.231
PPI_55,10,0,0.548,0.507,0.679,0.02
PPI_55,20,1,0.527,0.509,0.611,0.018
PPI_55,30,1,0.554,0.525,0.658,0.057
PPI_55,40,1,0.575,0.545,0.678,0.105
PPI_55,50,1,0.527,0.496,0.642,-0.01
PPI_55,60,1,0.543,0.509,0.661,0.021
PPI_55,70,1,0.559,0.525,0.675,0.06
PPI_55,80,2,0.597,0.567,0.694,0.156
PPI_55,90,3,0.591,0.562,0.689,0.144
PPI_55,100,4,0.597,0.568,0.691,0.156
PPI_55,110,4,0.597,0.57,0.689,0.157
PPI_55,120,4,0.602,0.576,0.692,0.17
PPI_55,130,5,0.565,0.538,0.661,0.085
PPI_55,140,5,0.586,0.561,0.675,0.135
PPI_55,150,6,0.575,0.551,0.667,0.111
PPI_55,160,7,0.581,0.555,0.672,0.122
PPI_55,170,7,0.575,0.551,0.667,0.111
PPI_55,180,9,0.554,0.53,0.647,0.065
PPI_55,190,9,0.667,0.641,0.742,0.316
PPI_55,200,9,0.656,0.634,0.726,0.291
PPI_55,210,9,0.661,0.636,0.736,0.304
PPI_55,220,9,0.613,0.587,0.7,0.194
PPI_55,230,9,0.608,0.583,0.692,0.183
PPI_55,240,9,0.559,0.531,0.661,0.07
PPI_55,250,9,0.575,0.548,0.672,0.108
PPI_55,260,10,0.548,0.521,0.65,0.048
PPI_55,270,10,0.618,0.59,0.708,0.206
PPI_55,280,11,0.602,0.577,0.689,0.171
PPI_55,290,11,0.602,0.576,0.692,0.17
PPI_55,300,11,0.629,0.605,0.709,0.231
PPI_55,310,11,0.618,0.59,0.708,0.206
PPI_55,320,11,0.597,0.571,0.686,0.158
PPI_55,330,12,0.618,0.592,0.705,0.206
PPI_55,340,12,0.613,0.588,0.697,0.195
PPI_55,350,12,0.618,0.593,0.703,0.207
PPI_55,360,13,0.624,0.599,0.706,0.219
PPI_55,370,13,0.651,0.623,0.733,0.281
PPI_55,380,14,0.64,0.612,0.724,0.256
PPI_55,390,14,0.661,0.635,0.739,0.305
PPI_55,400,15,0.64,0.613,0.722,0.256
PPI_55,410,16,0.634,0.611,0.712,0.243
PPI_55,420,16,0.629,0.606,0.706,0.231
PPI_55,430,16,0.634,0.611,0.712,0.243
PPI_55,440,16,0.661,0.64,0.73,0.302
PPI_55,450,16,0.651,0.627,0.726,0.279
PPI_55,460,16,0.608,0.587,0.684,0.186
PPI_55,470,17,0.602,0.582,0.678,0.175
PPI_55,480,18,0.656,0.63,0.733,0.292
PPI_55,490,18,0.629,0.605,0.709,0.231
PPI_55,500,21,0.629,0.608,0.704,0.232
GObp_25,10,0,0.597,0.563,0.701,0.154
GObp_25,20,1,0.565,0.541,0.655,0.089
GObp_25,30,1,0.559,0.536,0.65,0.078
GObp_25,40,1,0.581,0.559,0.664,0.127
GObp_25,50,1,0.597,0.567,0.694,0.156
GObp_25,60,1,0.591,0.557,0.698,0.141
GObp_25,70,1,0.565,0.531,0.677,0.075
GObp_25,80,1,0.597,0.566,0.696,0.155
GObp_25,90,2,0.613,0.58,0.712,0.194
GObp_25,100,3,0.591,0.561,0.691,0.143
GObp_25,110,4,0.586,0.563,0.672,0.137
GObp_25,120,4,0.618,0.593,0.703,0.207
GObp_25,130,4,0.559,0.532,0.658,0.072
GObp_25,140,5,0.57,0.543,0.667,0.097
GObp_25,150,6,0.586,0.561,0.675,0.135
GObp_25,160,7,0.548,0.524,0.644,0.052
GObp_25,170,7,0.565,0.54,0.658,0.087
GObp_25,180,7,0.565,0.54,0.658,0.087
GObp_25,190,9,0.554,0.53,0.647,0.065
GObp_25,200,9,0.532,0.509,0.627,0.02
GObp_25,210,9,0.618,0.593,0.703,0.207
GObp_25,220,9,0.645,0.621,0.723,0.267
GObp_25,230,9,0.667,0.641,0.742,0.316
GObp_25,240,9,0.608,0.581,0.697,0.182
GObp_25,250,10,0.64,0.613,0.722,0.256
GObp_25,260,10,0.645,0.617,0.73,0.269
GObp_25,270,10,0.613,0.587,0.7,0.194
GObp_25,280,10,0.618,0.594,0.7,0.207
GObp_25,290,10,0.629,0.606,0.706,0.231
GObp_25,300,10,0.651,0.627,0.726,0.279
GObp_25,310,11,0.629,0.605,0.709,0.231
GObp_25,320,11,0.624,0.599,0.706,0.219
GObp_25,330,11,0.613,0.588,0.697,0.195
GObp_25,340,11,0.608,0.582,0.695,0.182
GObp_25,350,12,0.634,0.609,0.717,0.243
GObp_25,360,13,0.64,0.613,0.722,0.256
GObp_25,370,14,0.629,0.604,0.711,0.231
GObp_25,380,14,0.634,0.609,0.717,0.243
GObp_25,390,14,0.634,0.61,0.714,0.243
GObp_25,400,15,0.656,0.63,0.733,0.292
GObp_25,410,16,0.602,0.577,0.689,0.171
GObp_25,420,16,0.634,0.611,0.712,0.243
GObp_25,430,16,0.629,0.604,0.711,0.231
GObp_25,440,16,0.64,0.617,0.715,0.255
GObp_25,450,16,0.634,0.611,0.712,0.243
GObp_25,460,16,0.634,0.612,0.709,0.243
GObp_25,470,17,0.634,0.611,0.712,0.243
GObp_25,480,19,0.629,0.606,0.706,0.231
GObp_25,490,20,0.602,0.584,0.675,0.176
GObp_25,500,22,0.613,0.595,0.684,0.199
GOmf_40,10,0,0.559,0.5,0.717,0.0
GOmf_40,20,1,0.543,0.531,0.608,0.062
GOmf_40,30,1,0.581,0.558,0.667,0.125
GOmf_40,40,1,0.613,0.584,0.705,0.194
GOmf_40,50,1,0.608,0.583,0.692,0.183
GOmf_40,60,1,0.57,0.539,0.675,0.092
GOmf_40,70,1,0.554,0.521,0.667,0.05
GOmf_40,80,1,0.538,0.504,0.656,0.01
GOmf_40,90,2,0.575,0.543,0.683,0.103
GOmf_40,100,2,0.559,0.527,0.669,0.064
GOmf_40,110,4,0.559,0.534,0.655,0.074
GOmf_40,120,4,0.57,0.542,0.669,0.095
GOmf_40,130,4,0.559,0.534,0.655,0.074
GOmf_40,140,4,0.559,0.535,0.653,0.076
GOmf_40,150,5,0.559,0.534,0.655,0.074
GOmf_40,160,6,0.548,0.525,0.641,0.055
GOmf_40,170,6,0.57,0.546,0.661,0.1
GOmf_40,180,7,0.554,0.529,0.65,0.063
GOmf_40,190,9,0.554,0.529,0.65,0.063
GOmf_40,200,9,0.565,0.538,0.661,0.085
GOmf_40,210,9,0.613,0.587,0.7,0.194
GOmf_40,220,9,0.618,0.589,0.71,0.206
GOmf_40,230,9,0.538,0.51,0.642,0.023
GOmf_40,240,9,0.64,0.613,0.722,0.256
GOmf_40,250,9,0.527,0.501,0.63,0.002
GOmf_40,260,9,0.522,0.496,0.624,-0.009
GOmf_40,270,9,0.597,0.571,0.686,0.158
GOmf_40,280,10,0.608,0.583,0.692,0.183
GOmf_40,290,10,0.602,0.576,0.692,0.17
GOmf_40,300,10,0.613,0.588,0.697,0.195
GOmf_40,310,10,0.629,0.606,0.706,0.231
GOmf_40,320,10,0.651,0.628,0.723,0.279
GOmf_40,330,10,0.645,0.621,0.723,0.267
GOmf_40,340,10,0.64,0.615,0.72,0.255
GOmf_40,350,11,0.656,0.634,0.726,0.291
GOmf_40,360,12,0.651,0.629,0.721,0.279
GOmf_40,370,12,0.645,0.622,0.72,0.267
GOmf_40,380,12,0.629,0.605,0.709,0.231
GOmf_40,390,13,0.634,0.612,0.709,0.243
GOmf_40,400,14,0.634,0.61,0.714,0.243
GOmf_40,410,15,0.629,0.608,0.704,0.232
GOmf_40,420,15,0.629,0.608,0.704,0.232
GOmf_40,430,15,0.624,0.6,0.703,0.219
GOmf_40,440,15,0.64,0.617,0.715,0.255
GOmf_40,450,15,0.624,0.602,0.701,0.22
GOmf_40,460,15,0.64,0.617,0.715,0.255
GOmf_40,470,17,0.645,0.622,0.72,0.267
GOmf_40,480,17,0.645,0.622,0.72,0.267
GOmf_40,490,18,0.656,0.633,0.729,0.291
GOmf_40,500,18,0.645,0.621,0.723,0.267
co_expression_80,10,0,0.559,0.5,0.717,0.0
co_expression_80,20,0,0.527,0.514,0.596,0.028
co_expression_80,30,1,0.543,0.514,0.65,0.032
co_expression_80,40,1,0.602,0.577,0.689,0.171
co_expression_80,50,1,0.634,0.607,0.719,0.243
co_expression_80,60,1,0.581,0.554,0.675,0.121
co_expression_80,70,1,0.57,0.537,0.68,0.089
co_expression_80,80,1,0.602,0.572,0.699,0.168
co_expression_80,90,2,0.543,0.509,0.661,0.021
co_expression_80,100,3,0.554,0.518,0.672,0.046
co_expression_80,110,3,0.608,0.578,0.702,0.181
co_expression_80,120,3,0.602,0.576,0.692,0.17
co_expression_80,130,3,0.597,0.571,0.686,0.158
co_expression_80,140,4,0.586,0.561,0.675,0.135
co_expression_80,150,4,0.597,0.575,0.678,0.161
co_expression_80,160,5,0.591,0.569,0.675,0.149
co_expression_80,170,6,0.597,0.572,0.684,0.159
co_expression_80,180,8,0.608,0.583,0.692,0.183
co_expression_80,190,8,0.634,0.61,0.714,0.243
co_expression_80,200,8,0.613,0.588,0.697,0.195
co_expression_80,210,8,0.597,0.571,0.686,0.158
co_expression_80,220,8,0.586,0.559,0.68,0.133
co_expression_80,230,9,0.608,0.583,0.692,0.183
co_expression_80,240,9,0.618,0.594,0.7,0.207
co_expression_80,250,9,0.618,0.593,0.703,0.207
co_expression_80,260,9,0.645,0.617,0.73,0.269
co_expression_80,270,9,0.645,0.618,0.727,0.268
co_expression_80,280,9,0.634,0.609,0.717,0.243
co_expression_80,290,9,0.645,0.621,0.723,0.267
co_expression_80,300,9,0.618,0.593,0.703,0.207
co_expression_80,310,10,0.624,0.599,0.706,0.219
co_expression_80,320,12,0.624,0.599,0.706,0.219
co_expression_80,330,13,0.629,0.602,0.714,0.231
co_expression_80,340,13,0.618,0.593,0.703,0.207
co_expression_80,350,14,0.629,0.604,0.711,0.231
co_expression_80,360,14,0.64,0.622,0.705,0.257
co_expression_80,370,14,0.629,0.609,0.701,0.232
co_expression_80,380,14,0.602,0.58,0.684,0.173
co_expression_80,390,14,0.645,0.629,0.708,0.269
co_expression_80,400,14,0.629,0.612,0.696,0.234
co_expression_80,410,14,0.618,0.595,0.698,0.208
co_expression_80,420,15,0.629,0.606,0.706,0.231
co_expression_80,430,15,0.624,0.6,0.703,0.219
co_expression_80,440,16,0.618,0.595,0.698,0.208
co_expression_80,450,16,0.613,0.591,0.692,0.196
co_expression_80,460,17,0.634,0.612,0.709,0.243
co_expression_80,470,18,0.629,0.606,0.706,0.231
co_expression_80,480,18,0.618,0.597,0.695,0.208
co_expression_80,490,18,0.608,0.586,0.687,0.185
co_expression_80,500,20,0.613,0.589,0.695,0.195
HPO_15,10,0,0.548,0.507,0.679,0.02
HPO_15,20,1,0.5,0.475,0.604,-0.053
HPO_15,30,1,0.57,0.543,0.667,0.097
HPO_15,40,1,0.575,0.545,0.678,0.105
HPO_15,50,1,0.543,0.513,0.653,0.029
HPO_15,60,1,0.538,0.504,0.656,0.01
HPO_15,70,1,0.57,0.535,0.683,0.087
HPO_15,80,2,0.597,0.567,0.694,0.156
HPO_15,90,3,0.591,0.562,0.689,0.144
HPO_15,100,3,0.602,0.575,0.694,0.169
HPO_15,110,3,0.613,0.587,0.7,0.194
HPO_15,120,3,0.591,0.564,0.686,0.144
HPO_15,130,5,0.591,0.566,0.681,0.147
HPO_15,140,6,0.591,0.566,0.681,0.147
HPO_15,150,7,0.565,0.54,0.658,0.087
HPO_15,160,7,0.559,0.534,0.655,0.074
HPO_15,170,8,0.581,0.555,0.672,0.122
HPO_15,180,9,0.559,0.535,0.653,0.076
HPO_15,190,9,0.667,0.641,0.742,0.316
HPO_15,200,9,0.656,0.634,0.726,0.291
HPO_15,210,9,0.661,0.636,0.736,0.304
HPO_15,220,9,0.618,0.593,0.703,0.207
HPO_15,230,9,0.597,0.572,0.684,0.159
HPO_15,240,9,0.559,0.531,0.661,0.07
HPO_15,250,9,0.57,0.542,0.669,0.095
HPO_15,260,10,0.548,0.521,0.65,0.048
HPO_15,270,10,0.602,0.573,0.697,0.169
HPO_15,280,11,0.602,0.576,0.692,0.17
HPO_15,290,11,0.597,0.571,0.686,0.158
HPO_15,300,11,0.613,0.584,0.705,0.194
HPO_15,310,11,0.613,0.585,0.702,0.194
HPO_15,320,11,0.629,0.604,0.711,0.231
HPO_15,330,12,0.618,0.594,0.7,0.207
HPO_15,340,12,0.618,0.594,0.7,0.207
HPO_15,350,13,0.618,0.593,0.703,0.207
HPO_15,360,13,0.624,0.598,0.708,0.219
HPO_15,370,13,0.651,0.623,0.733,0.281
HPO_15,380,13,0.661,0.635,0.739,0.305
HPO_15,390,13,0.651,0.624,0.73,0.28
HPO_15,400,14,0.645,0.618,0.727,0.268
HPO_15,410,15,0.624,0.6,0.703,0.219
HPO_15,420,16,0.624,0.6,0.703,0.219
HPO_15,430,16,0.651,0.628,0.723,0.279
HPO_15,440,16,0.661,0.64,0.73,0.302
HPO_15,450,16,0.656,0.633,0.729,0.291
HPO_15,460,16,0.608,0.586,0.687,0.185
HPO_15,470,18,0.656,0.633,0.729,0.291
HPO_15,480,18,0.661,0.636,0.736,0.304
HPO_15,490,19,0.629,0.605,0.709,0.231
HPO_15,500,20,0.634,0.611,0.712,0.243
GOmf_75,10,0,0.478,0.467,0.549,-0.068
GOmf_75,20,0,0.602,0.571,0.702,0.168
GOmf_75,30,0,0.565,0.556,0.616,0.113
GOmf_75,40,1,0.565,0.546,0.643,0.097
GOmf_75,50,1,0.602,0.586,0.67,0.179
GOmf_75,60,1,0.586,0.568,0.661,0.142
GOmf_75,70,1,0.57,0.555,0.64,0.113
GOmf_75,80,1,0.586,0.559,0.68,0.133
GOmf_75,90,1,0.548,0.517,0.659,0.041
GOmf_75,100,1,0.57,0.541,0.672,0.093
GOmf_75,110,2,0.543,0.515,0.647,0.034
