PCGF2	pcgf2
SMAD2	smad2
MYSM1	mysm1
PPIB	ppib
ATG2A	atg2a
ATG2B	atg2b
BMP7	bmp7
BMP6	bmp6
BMP5	bmp5
BMP4	bmp4
BMP3	bmp3
BMP2	bmp2
BMP1	bmp1
GPR4	gpr4
DR1	dr1
GOLGA8T	golga8t
OR5R1	or5r1
C1orf35	c1orf35
GOLGA8S	golga8s
FEM1C	fem1c
GOLGA8M	golga8m
GOLGA8O	golga8o
GOLGA8N	golga8n
ASF1B	asf1b
GOLGA8K	golga8k
GOLGA8J	golga8j
NDUFAF1	ndufaf1
GOLGA8G	golga8g
FEM1A	fem1a
GOLGA8A	golga8a
GOLGA8B	golga8b
CT45A9	ct45a9
CT45A8	ct45a8
NCBP2L	ncbp2l
ZNF519	znf519
CT45A1	ct45a1
PTOV1	ptov1
CT45A3	ct45a3
CT45A2	ct45a2
CT45A5	ct45a5
RASSF4	rassf4
CT45A7	ct45a7
CT45A6	ct45a6
FTCDNL1	ftcdnl1
VMO1	vmo1
MCOLN2	mcoln2
TMPRSS11A	tmprss11a
SPRY2	spry2
RSAD2	rsad2
RSAD1	rsad1
LIAS	lias
CHD1	chd1
NFS1	nfs1
CHD3	chd3
CHD2	chd2
CHD5	chd5
CHD4	chd4
CHD7	chd7
CHD6	chd6
CHD9	chd9
CHD8	chd8
PCDH8	pcdh8
SGCA	sgca
CAP1	cap1
CAP2	cap2
NPC2	npc2
NPC1	npc1
SKIV2L	skiv2l
TRMT44	trmt44
TTC5	ttc5
C3orf58	c3orf58
PRKCB	prkcb
RAB3GAP2	rab3gap2
IL4R	il4r
BHLHA15	bhlha15
PIKFYVE	pikfyve
PRKCE	prkce
C3orf52	c3orf52
TTC9	ttc9
TTC8	ttc8
C3orf56	c3orf56
DYNC1LI1	dync1li1
DYNC1LI2	dync1li2
STC1	stc1
TRPC1	trpc1
CHDH	chdh
EFHC1	efhc1
CAPG	capg
TPRKB	tprkb
STC2	stc2
ETHE1	ethe1
PRDM16	prdm16
ABCG1	abcg1
ABCG2	abcg2
PLSCR5	plscr5
ABCG4	abcg4
ABCG5	abcg5
PRDM10	prdm10
PLSCR1	plscr1
ABCG8	abcg8
MPO	mpo
HNF4G	hnf4g
AVP	avp
MPI	mpi
HIST1H3A	hist1h3a
CPT1A	cpt1a
SPC25	spc25
POLRMT	polrmt
METTL21C	mettl21c
TRPC5OS	trpc5os
MPZ	mpz
SRBD1	srbd1
SGSM2	sgsm2
MCPH1	mcph1
GRPEL1	grpel1
